Material,CW,HRB,
Copper RT,0.000,38.5,
Copper RT,0.000,35.6,
Copper RT,0.000,38.9,
Copper RT,6.340,40.5,
Copper RT,6.340,39.6,
Copper RT,6.340,42.1,
Copper RT,11.110,41.0,
Copper RT,11.110,41.5,
Copper RT,11.110,38.8,
Copper RT,19.050,46.1,
Copper RT,19.050,42.0,
Copper RT,19.050,43.5,
Copper RT,23.810,51.0,
Copper RT,23.810,50.3,
Copper RT,23.810,48.5,
Copper RT,30.160,53.9,
Copper RT,30.160,52.9,
Copper RT,30.160,53.8,
Copper RT,38.095,55.0,
Copper RT,38.095,54.2,
Copper RT,38.095,55.0,
Copper RT,44.444,60.0,
Copper RT,44.444,56.5,
Copper RT,44.444,58.4,
Copper RT,55.555,55.5,
Copper RT,55.555,56.9,
Copper RT,55.555,57.9,
Copper 400,0.000,42.3,
Copper 400,0.000,40.0,
Copper 400,0.000,40.0,
Copper 400,4.39,43.0,
Copper 400,4.39,44.0,
Copper 400,4.39,45.0,
Copper 400,11.400,46.0,
Copper 400,11.400,45.0,
Copper 400,11.400,46.0,
Copper 400,16.028,46.0,
Copper 400,16.028,47.0,
Copper 400,16.028,48.0,
Copper 400,100,0.0,
Copper 400,100,0.0,
Copper 400,100,0.0,
Copper 400,25.562,50.0,
Copper 400,25.562,54.0,
Copper 400,25.562,52.0,
Copper 400,32.607,31.0,
Copper 400,32.607,28.0,
Copper 400,32.607,27.0,
Copper 400,43.367,43.0,
Copper 400,43.367,41.0,
Copper 400,43.367,41.0,
Copper 400,48.415,45.0,
Copper 400,48.415,44.0,
Copper 400,48.415,47.0,
Copper 400,57.627,47.0,
Copper 400,57.627,51.0,
Copper 400,57.627,53.0,
Copper 500,0,37.0,
Copper 500,0,37.0,
Copper 500,0,36.0,
Copper 500,8.44,41.0,
Copper 500,8.44,37.0,
Copper 500,8.44,42.0,
Copper 500,11.359,42.0,
Copper 500,11.359,43.0,
Copper 500,11.359,44.0,
Copper 500,26.082,42.0,
Copper 500,26.082,47.0,
Copper 500,26.082,47.0,
Copper 500,31.587,17.0,
Copper 500,31.587,14.0,
Copper 500,31.587,15.0,
Copper 500,36.305,30.0,
Copper 500,36.305,31.0,
Copper 500,36.305,33.0,
Copper 500,44.192,41.0,
Copper 500,44.192,44.0,
Copper 500,44.192,43.0,
Copper 500,54.112,43.0,
Copper 500,54.112,48.0,
Copper 500,54.112,47.0,
Brass RT,0,69.0,
Brass RT,0,69.0,
Brass RT,0,68.0,
Brass RT,6.3,73.0,
Brass RT,6.3,71.0,
Brass RT,6.3,72.0,
Brass RT,12.7,74.0,
Brass RT,12.7,75.0,
Brass RT,12.7,74.0,
Brass RT,19.1,82.0,
Brass RT,19.1,82.0,
Brass RT,19.1,79.0,
Brass RT,24,81.0,
Brass RT,24,82.0,
Brass RT,24,83.0,
Brass RT,30.8,84.0,
Brass RT,30.8,83.0,
Brass RT,30.8,83.0,
Brass RT,40.1,84.0,
Brass RT,40.1,85.0,
Brass RT,40.1,85.0,
Brass RT,47.2,87.0,
Brass RT,47.2,87.0,
Brass RT,47.2,87.0,
Brass RT,54.9,87.0,
Brass RT,54.9,87.0,
Brass RT,54.9,87.0,
Brass 400,0,68.0,
Brass 400,0,67.5,
Brass 400,0,67.0,
Brass 400,7.9,71.5,
Brass 400,7.9,70.5,
Brass 400,7.9,71.0,
Brass 400,12.7,75.0,
Brass 400,12.7,75.0,
Brass 400,12.7,75.5,
Brass 400,19.1,79.0,
Brass 400,19.1,78.5,
Brass 400,19.1,79.5,
Brass 400,25.4,81.0,
Brass 400,25.4,81.5,
Brass 400,25.4,80.5,
Brass 400,31.7,80.5,
Brass 400,31.7,80.5,
Brass 400,31.7,80.0,
Brass 400,41.7,84.0,
Brass 400,41.7,84.0,
Brass 400,41.7,84.5,
Brass 400,45.5,85.5,
Brass 400,45.5,85.5,
Brass 400,45.5,85.5,
Brass 400,55.9,87.0,
Brass 400,55.9,86.0,
Brass 400,55.9,87.0,
Brass 500,0,76.0,
Brass 500,0,77.5,
Brass 500,0,76.5,
Brass 500,4.537,80.0,
Brass 500,4.537,81.0,
Brass 500,4.537,79.0,
Brass 500,9.94,80.5,
Brass 500,9.94,79.5,
Brass 500,9.94,80.5,
Brass 500,17.877,85.5,
Brass 500,17.877,83.0,
Brass 500,17.877,86.5,
Brass 500,25.441,84.5,
Brass 500,25.441,85.5,
Brass 500,25.441,85.5,
Brass 500,24.455,56.0,
Brass 500,24.455,56.0,
Brass 500,24.455,61.0,
Brass 500,33.503,74.5,
Brass 500,33.503,77.0,
Brass 500,33.503,76.5,
Brass 500,41.582,83.0,
Brass 500,41.582,83.0,
Brass 500,41.582,82.0,
Brass 500,48.829,86.0,
Brass 500,48.829,85.0,
Brass 500,48.829,85.5,
Brass 500,55.265,86.0,
Brass 500,55.265,89.0,
Brass 500,55.265,88.5,
Brass 500,56.142,59.5,
Brass 500,56.142,57.0,
Brass 500,56.142,58.0,
