Results Table 1
,Specimen number (included),Specimen label,Diameter,Support span,Maximum Force
,,,(mm),(mm),(N)
"1","1","uncoated","4.06","50.80","77.61"
"2","2","uncoated","4.01","50.80","111.32"
"3","3","uncoated","4.04","50.80","78.25"
"4","4","uncoated","4.01","50.80","73.50"
"5","5","uncoated","4.06","50.80","122.45"
"6","6","uncoated","8.03","50.80","349.47"
"7","7","uncoated","8.03","50.80","411.01"
"8","8","uncoated","8.00","50.80","647.39"
"9","9","uncoated","8.03","50.80","534.41"
"10","10","uncoated","8.03","50.80","677.43"
"11","11","uncoated","8.03","50.80","332.77"
"12","12","uncoated","7.92","50.80","940.29"
"13","13","uncoated","8.08","50.80","580.31"
"14","14","uncoated","8.00","50.80","768.42"
"15","15","uncoated","7.98","50.80","359.90"
"16","16","uncoated","7.98","50.80","696.78"
"17","17","uncoated","3.96","50.80","61.18"
"18","18","uncoated","3.89","50.80","40.72"
"19","19","uncoated","3.92","50.80","73.18"
"20","20","uncoated","3.92","50.80","38.61"
"21","21","coated","4.01","50.80","98.64"
"22","22","coated","3.99","50.80","84.62"
"23","23","coated","4.06","50.80","87.30"
"24","24","coated","3.94","50.80","110.66"
"25","25","coated","3.96","50.80","88.70"
"26","26","coated","8.03","50.80","540.29"
"27","27","coated","8.05","50.80","376.24"
"28","28","coated","8.08","50.80","995.55"
"29","29","coated","8.08","50.80","550.80"
"30","30","coated","8.05","50.80","786.17"
"31","31","coated","8.00","50.80","770.42"
"32","32","coated","8.05","50.80","308.36"
"33","33","coated","8.00","50.80","316.35"
"34","34","coated","8.00","50.80","900.93"
"35","35","coated","8.10","50.80","549.90"
"36","36","coated","4.04","50.80","110.79"
"37","37","coated","3.99","50.80","63.62"
"38","38","coated","3.94","50.80","91.53"
"39","39","coated","3.89","50.80","106.79"
"40","40","coated","4.04","50.80","84.42"
"41","41","uncoated","4.04","50.80","82.01"
"42","42","uncoated","4.04","50.80","56.41"
"43","43","uncoated","4.06","50.80","99.98"
"44","44","uncoated","4.01","50.80","96.42"
"45","45","uncoated","3.99","50.80","96.72"
"46","46","uncoated","3.89","50.80","107.35"
"47","47","uncoated","3.96","50.80","69.74"
"48","48","uncoated","3.94","50.80","91.06"
"49","49","uncoated","7.09","50.80","796.20"
"50","50","uncoated","7.98","50.80","685.21"
"51","51","uncoated","7.98","50.80","417.14"
"52","52","uncoated","8.03","50.80","751.07"
"53","53","uncoated","7.98","50.80","496.61"
"54","54","uncoated","8.03","50.80","842.72"
"55","55","uncoated","5.46","50.80","532.74"
"56","56","uncoated","5.46","50.80","813.38"
"57","57","uncoated","5.46","50.80","609.24"
"58","58","uncoated","5.46","50.80","591.02"
"59","59","uncoated","5.46","50.80","472.32"
"60","60","uncoated","5.46","50.80","477.96"
"61","61","uncoated","5.46","50.80","338.08"
"62","62","coated","4.04","50.80","92.35"
"63","63","coated","4.06","50.80","83.16"
"64","64","coated","4.06","50.80","126.02"
"65","65","coated","4.01","50.80","114.70"
"66","66","coated","4.04","50.80","84.30"
"67","67","coated","4.01","50.80","116.61"
"68","68","coated","4.01","50.80","97.97"
"69","69","coated","4.04","50.80","128.25"
"70","70","coated","3.99","50.80","66.88"
"71","71","coated","8.03","50.80","939.99"
"72","72","coated","8.03","50.80","600.75"
"73","73","coated","8.05","50.80","475.79"
"74","74","coated","8.00","50.80","844.32"
"75","75","coated","7.98","50.80","574.10"
"76","76","coated","5.44","50.80","851.78"
"77","77","coated","5.51","50.80","672.35"
"78","78","coated","5.46","50.80","659.20"
"79","79","coated","5.46","50.80","348.10"
"80","80","coated","5.46","50.80","680.25"
"81","81","uncoated","7.92","50.80","549.32"
"82","82","uncoated","8.05","50.80","1129.19"
"83","83","uncoated","8.05","50.80","746.55"
"84","84","uncoated","8.05","50.80","572.39"
"85","85","uncoated","8.05","50.80","749.73"
"86","86","uncoated","3.91","50.80","102.52"
"87","87","uncoated","3.91","50.80","90.48"
"88","88","uncoated","3.91","50.80","72.38"
"89","89","uncoated","3.91","50.80","61.03"
"90","90","uncoated","3.91","50.80","57.60"
"91","91","uncoated","4.04","50.80","70.44"
"92","92","uncoated","4.04","50.80","96.48"
"93","93","uncoated","3.99","50.80","104.58"
"94","94","uncoated","4.01","50.80","51.51"
"95","95","uncoated","4.04","50.80","78.22"
"96","96","uncoated","8.00","50.80","655.50"
