Results Table 1
,Specimen label,Thickness,Width,Length,Rate 1
,,(mm),(mm),(mm),(mm/min)
"1","hdpe","3.20","12.73","94.87","25.40"
"2","hdpe5","3.18","12.73","87.86","127.00"
"3","hdpe20","3.18","12.67","91.29","508.00"

Results Table 2


1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0249"
"","0.0200","0.0000","0.0252"
"","0.0400","0.0004","0.0252"
"","0.0600","0.0019","0.0266"
"","0.0800","0.0067","0.0307"
"","0.1000","0.0130","0.0359"
"","0.1200","0.0176","0.0394"
"","0.1400","0.0224","0.0432"
"","0.1600","0.0299","0.0491"
"","0.1800","0.0404","0.0575"
"","0.2000","0.0526","0.0674"
"","0.2200","0.0646","0.0767"
"","0.2400","0.0751","0.0847"
"","0.2600","0.0841","0.0909"
"","0.2800","0.0922","0.0966"
"","0.3000","0.1003","0.1019"
"","0.3200","0.1086","0.1075"
"","0.3400","0.1170","0.1133"
"","0.3600","0.1253","0.1190"
"","0.3800","0.1337","0.1244"
"","0.4000","0.1421","0.1300"
"","0.4200","0.1507","0.1353"
"","0.4400","0.1592","0.1406"
"","0.4600","0.1675","0.1457"
"","0.4800","0.1756","0.1508"
"","0.5000","0.1838","0.1558"
"","0.5200","0.1923","0.1611"
"","0.5400","0.2012","0.1667"
"","0.5600","0.2101","0.1720"
"","0.5800","0.2186","0.1770"
"","0.6000","0.2269","0.1815"
"","0.6200","0.2351","0.1864"
"","0.6400","0.2435","0.1911"
"","0.6600","0.2519","0.1959"
"","0.6800","0.2603","0.2005"
"","0.7000","0.2686","0.2051"
"","0.7200","0.2768","0.2097"
"","0.7400","0.2852","0.2144"
"","0.7600","0.2939","0.2192"
"","0.7800","0.3028","0.2240"
"","0.8000","0.3115","0.2286"
"","0.8200","0.3198","0.2328"
"","0.8400","0.3280","0.2373"
"","0.8600","0.3363","0.2413"
"","0.8800","0.3448","0.2458"
"","0.9000","0.3534","0.2503"
"","0.9200","0.3617","0.2546"
"","0.9400","0.3700","0.2583"
"","0.9600","0.3783","0.2627"
"","0.9800","0.3869","0.2670"
"","1.0000","0.3957","0.2714"
"","1.0200","0.4045","0.2758"
"","1.0400","0.4131","0.2799"
"","1.0600","0.4214","0.2840"
"","1.0800","0.4298","0.2879"
"","1.1000","0.4382","0.2920"
"","1.1200","0.4467","0.2960"
"","1.1400","0.4551","0.2999"
"","1.1600","0.4634","0.3037"
"","1.1800","0.4717","0.3079"
"","1.2000","0.4801","0.3116"
"","1.2200","0.4888","0.3157"
"","1.2400","0.4977","0.3198"
"","1.2600","0.5063","0.3239"
"","1.2800","0.5146","0.3277"
"","1.3000","0.5227","0.3314"
"","1.3200","0.5311","0.3350"
"","1.3400","0.5396","0.3388"
"","1.3600","0.5481","0.3426"
"","1.3800","0.5564","0.3463"
"","1.4000","0.5646","0.3500"
"","1.4200","0.5729","0.3533"
"","1.4400","0.5816","0.3574"
"","1.4600","0.5904","0.3612"
"","1.4800","0.5993","0.3653"
"","1.5000","0.6078","0.3689"
"","1.5200","0.6160","0.3724"
"","1.5400","0.6243","0.3756"
"","1.5600","0.6327","0.3792"
"","1.5800","0.6413","0.3826"
"","1.6000","0.6497","0.3865"
"","1.6200","0.6580","0.3898"
"","1.6400","0.6663","0.3931"
"","1.6600","0.6748","0.3966"
"","1.6800","0.6836","0.4002"
"","1.7000","0.6926","0.4042"
"","1.7200","0.7012","0.4076"
"","1.7400","0.7096","0.4111"
"","1.7600","0.7178","0.4140"
"","1.7800","0.7261","0.4173"
"","1.8000","0.7345","0.4206"
"","1.8200","0.7429","0.4238"
"","1.8400","0.7512","0.4270"
"","1.8600","0.7595","0.4302"
"","1.8800","0.7679","0.4335"
"","1.9000","0.7766","0.4369"
"","1.9200","0.7855","0.4405"
"","1.9400","0.7942","0.4439"
"","1.9600","0.8026","0.4467"
"","1.9800","0.8108","0.4497"
"","2.0000","0.8190","0.4528"
"","2.0200","0.8275","0.4558"
"","2.0400","0.8359","0.4591"
"","2.0600","0.8443","0.4620"
"","2.0800","0.8525","0.4650"
"","2.1000","0.8608","0.4679"
"","2.1200","0.8694","0.4712"
"","2.1400","0.8783","0.4744"
"","2.1600","0.8872","0.4778"
"","2.1800","0.8958","0.4806"
"","2.2000","0.9040","0.4835"
"","2.2200","0.9121","0.4864"
"","2.2400","0.9205","0.4894"
"","2.2600","0.9290","0.4923"
"","2.2800","0.9375","0.4952"
"","2.3000","0.9458","0.4979"
"","2.3200","0.9541","0.5007"
"","2.3400","0.9626","0.5036"
"","2.3600","0.9713","0.5064"
"","2.3800","0.9801","0.5097"
"","2.4000","0.9889","0.5125"
"","2.4200","0.9973","0.5153"
"","2.4400","1.0055","0.5178"
"","2.4600","1.0138","0.5205"
"","2.4800","1.0222","0.5232"
"","2.5000","1.0308","0.5261"
"","2.5200","1.0392","0.5288"
"","2.5400","1.0475","0.5312"
"","2.5600","1.0558","0.5338"
"","2.5800","1.0644","0.5365"
"","2.6000","1.0733","0.5398"
"","2.6200","1.0820","0.5426"
"","2.6400","1.0905","0.5452"
"","2.6600","1.0986","0.5472"
"","2.6800","1.1068","0.5495"
"","2.7000","1.1151","0.5520"
"","2.7200","1.1237","0.5548"
"","2.7400","1.1322","0.5573"
"","2.7600","1.1406","0.5599"
"","2.7800","1.1489","0.5622"
"","2.8000","1.1574","0.5649"
"","2.8200","1.1661","0.5675"
"","2.8400","1.1749","0.5702"
"","2.8600","1.1835","0.5728"
"","2.8800","1.1918","0.5749"
"","2.9000","1.2001","0.5771"
"","2.9200","1.2085","0.5795"
"","2.9400","1.2171","0.5822"
"","2.9600","1.2256","0.5845"
"","2.9800","1.2339","0.5869"
"","3.0000","1.2422","0.5890"
"","3.0200","1.2506","0.5914"
"","3.0400","1.2592","0.5937"
"","3.0600","1.2680","0.5961"
"","3.0800","1.2768","0.5986"
"","3.1000","1.2852","0.6010"
"","3.1200","1.2935","0.6031"
"","3.1400","1.3018","0.6051"
"","3.1600","1.3102","0.6072"
"","3.1800","1.3187","0.6095"
"","3.2000","1.3270","0.6120"
"","3.2200","1.3353","0.6139"
"","3.2400","1.3436","0.6162"
"","3.2600","1.3521","0.6185"
"","3.2800","1.3609","0.6208"
"","3.3000","1.3698","0.6229"
"","3.3200","1.3783","0.6251"
"","3.3400","1.3865","0.6271"
"","3.3600","1.3947","0.6291"
"","3.3800","1.4032","0.6311"
"","3.4000","1.4118","0.6334"
"","3.4200","1.4203","0.6354"
"","3.4400","1.4286","0.6375"
"","3.4600","1.4368","0.6396"
"","3.4800","1.4451","0.6416"
"","3.5000","1.4537","0.6438"
"","3.5200","1.4626","0.6461"
"","3.5400","1.4714","0.6483"
"","3.5600","1.4798","0.6501"
"","3.5800","1.4881","0.6520"
"","3.6000","1.4964","0.6537"
"","3.6200","1.5049","0.6558"
"","3.6400","1.5134","0.6579"
"","3.6600","1.5218","0.6598"
"","3.6800","1.5299","0.6614"
"","3.7000","1.5381","0.6632"
"","3.7200","1.5465","0.6653"
"","3.7400","1.5553","0.6675"
"","3.7600","1.5642","0.6695"
"","3.7800","1.5729","0.6715"
"","3.8000","1.5813","0.6735"
"","3.8200","1.5897","0.6753"
"","3.8400","1.5981","0.6773"
"","3.8600","1.6067","0.6791"
"","3.8800","1.6151","0.6809"
"","3.9000","1.6234","0.6826"
"","3.9200","1.6315","0.6843"
"","3.9400","1.6399","0.6858"
"","3.9600","1.6486","0.6879"
"","3.9800","1.6575","0.6900"
"","4.0000","1.6662","0.6919"
"","4.0200","1.6747","0.6936"
"","4.0400","1.6829","0.6954"
"","4.0600","1.6912","0.6970"
"","4.0800","1.6996","0.6988"
"","4.1000","1.7081","0.7005"
"","4.1200","1.7163","0.7021"
"","4.1400","1.7245","0.7037"
"","4.1600","1.7328","0.7052"
"","4.1800","1.7414","0.7071"
"","4.2000","1.7504","0.7091"
"","4.2200","1.7593","0.7112"
"","4.2400","1.7678","0.7129"
"","4.2600","1.7760","0.7144"
"","4.2800","1.7843","0.7159"
"","4.3000","1.7927","0.7177"
"","4.3200","1.8012","0.7191"
"","4.3400","1.8096","0.7207"
"","4.3600","1.8179","0.7223"
"","4.3800","1.8263","0.7241"
"","4.4000","1.8349","0.7258"
"","4.4200","1.8437","0.7275"
"","4.4400","1.8526","0.7294"
"","4.4600","1.8612","0.7309"
"","4.4800","1.8695","0.7326"
"","4.5000","1.8776","0.7337"
