Results Table 1
,Specimen label,Thickness,Width,Length,Rate 1
,,(mm),(mm),(mm),(mm/min)
"1","LDPE 1IN/MIN","3.33","13.26","95.25","25.40"
"2","LDPE 5IN/MIN","3.30","13.00","87.12","127.00"
"3","LDPE 20IN/MIN","3.30","13.00","90.42","508.00"

Results Table 2


1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","-0.0020"
"","0.0200","0.0000","-0.0019"
"","0.0400","0.0004","-0.0017"
"","0.0600","0.0024","-0.0011"
"","0.0800","0.0078","0.0002"
"","0.1000","0.0139","0.0019"
"","0.1200","0.0186","0.0030"
"","0.1400","0.0240","0.0045"
"","0.1600","0.0320","0.0064"
"","0.1800","0.0428","0.0091"
"","0.2000","0.0548","0.0120"
"","0.2200","0.0663","0.0150"
"","0.2400","0.0763","0.0172"
"","0.2600","0.0850","0.0193"
"","0.2800","0.0931","0.0208"
"","0.3000","0.1013","0.0228"
"","0.3200","0.1097","0.0244"
"","0.3400","0.1182","0.0264"
"","0.3600","0.1266","0.0280"
"","0.3800","0.1350","0.0297"
"","0.4000","0.1435","0.0312"
"","0.4200","0.1521","0.0332"
"","0.4400","0.1605","0.0348"
"","0.4600","0.1687","0.0366"
"","0.4800","0.1768","0.0381"
"","0.5000","0.1850","0.0399"
"","0.5200","0.1936","0.0416"
"","0.5400","0.2025","0.0433"
"","0.5600","0.2114","0.0448"
"","0.5800","0.2200","0.0466"
"","0.6000","0.2282","0.0478"
"","0.6200","0.2365","0.0492"
"","0.6400","0.2449","0.0508"
"","0.6600","0.2533","0.0523"
"","0.6800","0.2617","0.0536"
"","0.7000","0.2700","0.0552"
"","0.7200","0.2783","0.0565"
"","0.7400","0.2868","0.0581"
"","0.7600","0.2955","0.0592"
"","0.7800","0.3043","0.0608"
"","0.8000","0.3129","0.0622"
"","0.8200","0.3212","0.0637"
"","0.8400","0.3294","0.0649"
"","0.8600","0.3379","0.0664"
"","0.8800","0.3465","0.0678"
"","0.9000","0.3550","0.0691"
"","0.9200","0.3633","0.0703"
"","0.9400","0.3716","0.0715"
"","0.9600","0.3799","0.0728"
"","0.9800","0.3886","0.0742"
"","1.0000","0.3974","0.0754"
"","1.0200","0.4062","0.0769"
"","1.0400","0.4147","0.0781"
"","1.0600","0.4230","0.0795"
"","1.0800","0.4313","0.0805"
"","1.1000","0.4398","0.0820"
"","1.1200","0.4483","0.0830"
"","1.1400","0.4567","0.0842"
"","1.1600","0.4649","0.0853"
"","1.1800","0.4732","0.0867"
"","1.2000","0.4816","0.0877"
"","1.2200","0.4903","0.0891"
"","1.2400","0.4991","0.0902"
"","1.2600","0.5078","0.0915"
"","1.2800","0.5160","0.0926"
"","1.3000","0.5242","0.0938"
"","1.3200","0.5326","0.0951"
"","1.3400","0.5411","0.0965"
"","1.3600","0.5495","0.0975"
"","1.3800","0.5578","0.0985"
"","1.4000","0.5661","0.0995"
"","1.4200","0.5745","0.1008"
"","1.4400","0.5831","0.1019"
"","1.4600","0.5920","0.1033"
"","1.4800","0.6008","0.1047"
"","1.5000","0.6092","0.1058"
"","1.5200","0.6175","0.1066"
"","1.5400","0.6258","0.1077"
"","1.5600","0.6343","0.1087"
"","1.5800","0.6428","0.1098"
"","1.6000","0.6512","0.1110"
"","1.6200","0.6595","0.1123"
"","1.6400","0.6678","0.1135"
"","1.6600","0.6763","0.1144"
"","1.6800","0.6852","0.1154"
"","1.7000","0.6941","0.1167"
"","1.7200","0.7027","0.1177"
"","1.7400","0.7110","0.1188"
"","1.7600","0.7192","0.1198"
"","1.7800","0.7275","0.1208"
"","1.8000","0.7360","0.1220"
"","1.8200","0.7444","0.1229"
"","1.8400","0.7526","0.1240"
"","1.8600","0.7609","0.1251"
