Results Table 1
,Specimen label,Thickness,Width,Length,Rate 1
,,(mm),(mm),(mm),(mm/min)
"1","PC 1INPM","3.05","12.95","87.12","25.40"
"2","PC 5INPM","3.05","12.95","87.53","127.00"
"3","PC 20INPM","3.05","12.95","90.91","508.00"

Results Table 2


1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0468"
"","0.0200","0.0000","0.0468"
"","0.0400","0.0004","0.0468"
"","0.0600","0.0016","0.0476"
"","0.0800","0.0055","0.0516"
"","0.1000","0.0120","0.0579"
"","0.1200","0.0171","0.0630"
"","0.1400","0.0217","0.0673"
"","0.1600","0.0284","0.0740"
"","0.1800","0.0383","0.0836"
"","0.2000","0.0501","0.0950"
"","0.2200","0.0618","0.1060"
"","0.2400","0.0723","0.1158"
"","0.2600","0.0816","0.1245"
"","0.2800","0.0902","0.1322"
"","0.3000","0.0986","0.1400"
"","0.3200","0.1069","0.1477"
"","0.3400","0.1151","0.1554"
"","0.3600","0.1233","0.1629"
"","0.3800","0.1316","0.1706"
"","0.4000","0.1401","0.1784"
"","0.4200","0.1487","0.1861"
"","0.4400","0.1572","0.1939"
"","0.4600","0.1653","0.2012"
"","0.4800","0.1736","0.2087"
"","0.5000","0.1821","0.2164"
"","0.5200","0.1910","0.2242"
"","0.5400","0.1999","0.2323"
"","0.5600","0.2085","0.2401"
"","0.5800","0.2168","0.2477"
"","0.6000","0.2249","0.2549"
"","0.6200","0.2332","0.2625"
"","0.6400","0.2416","0.2699"
"","0.6600","0.2500","0.2774"
"","0.6800","0.2583","0.2847"
"","0.7000","0.2666","0.2919"
"","0.7200","0.2750","0.2993"
"","0.7400","0.2836","0.3068"
"","0.7600","0.2925","0.3147"
"","0.7800","0.3012","0.3222"
"","0.8000","0.3095","0.3297"
"","0.8200","0.3178","0.3368"
"","0.8400","0.3261","0.3441"
"","0.8600","0.3346","0.3516"
"","0.8800","0.3431","0.3588"
"","0.9000","0.3515","0.3660"
"","0.9200","0.3598","0.3730"
"","0.9400","0.3682","0.3802"
"","0.9600","0.3768","0.3874"
"","0.9800","0.3856","0.3950"
"","1.0000","0.3945","0.4029"
"","1.0200","0.4031","0.4101"
"","1.0400","0.4114","0.4169"
"","1.0600","0.4196","0.4235"
"","1.0800","0.4279","0.4305"
"","1.1000","0.4363","0.4375"
"","1.1200","0.4448","0.4443"
"","1.1400","0.4532","0.4510"
"","1.1600","0.4616","0.4576"
"","1.1800","0.4701","0.4647"
"","1.2000","0.4788","0.4717"
"","1.2200","0.4875","0.4791"
"","1.2400","0.4962","0.4860"
"","1.2600","0.5044","0.4929"
"","1.2800","0.5125","0.4995"
"","1.3000","0.5208","0.5062"
"","1.3200","0.5293","0.5131"
"","1.3400","0.5378","0.5200"
"","1.3600","0.5462","0.5269"
"","1.3800","0.5545","0.5337"
"","1.4000","0.5628","0.5405"
"","1.4200","0.5715","0.5475"
"","1.4400","0.5803","0.5546"
"","1.4600","0.5890","0.5618"
"","1.4800","0.5975","0.5687"
"","1.5000","0.6057","0.5755"
"","1.5200","0.6140","0.5821"
"","1.5400","0.6224","0.5889"
"","1.5600","0.6309","0.5957"
"","1.5800","0.6394","0.6025"
"","1.6000","0.6478","0.6094"
"","1.6200","0.6561","0.6159"
"","1.6400","0.6645","0.6230"
"","1.6600","0.6732","0.6299"
"","1.6800","0.6821","0.6371"
"","1.7000","0.6908","0.6438"
"","1.7200","0.6992","0.6505"
"","1.7400","0.7073","0.6571"
"","1.7600","0.7157","0.6638"
"","1.7800","0.7242","0.6706"
"","1.8000","0.7327","0.6772"
"","1.8200","0.7411","0.6838"
"","1.8400","0.7493","0.6899"
"","1.8600","0.7576","0.6966"
