Results Table 1
,Specimen label,Thickness,Width,Length,Rate 1
,,(mm),(mm),(mm),(mm/min)
"1","PMMA_rt_.1","3.07","13.21","89.18","2.54"
"2","PMMA_rt_1","3.20","13.16","92.38","25.40"
"3","PMMA_50_.1","3.25","12.57","90.65","2.54"
"4","PMMA_50_1","3.20","13.03","91.26","25.40"

Results Table 2


1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.1226"
"","0.0200","0.0000","0.1228"
"","0.0400","0.0000","0.1227"
"","0.0600","0.0001","0.1229"
"","0.0800","0.0002","0.1227"
"","0.1000","0.0003","0.1229"
"","0.1200","0.0006","0.1231"
"","0.1400","0.0011","0.1237"
"","0.1600","0.0013","0.1245"
"","0.1800","0.0013","0.1249"
"","0.2000","0.0013","0.1249"
"","0.2200","0.0014","0.1249"
"","0.2400","0.0015","0.1248"
"","0.2600","0.0017","0.1248"
"","0.2800","0.0020","0.1254"
"","0.3000","0.0026","0.1265"
"","0.3200","0.0039","0.1285"
"","0.3400","0.0059","0.1315"
"","0.3600","0.0082","0.1354"
"","0.3800","0.0104","0.1389"
"","0.4000","0.0121","0.1416"
"","0.4200","0.0134","0.1432"
"","0.4400","0.0143","0.1445"
"","0.4600","0.0151","0.1454"
"","0.4800","0.0158","0.1466"
"","0.5000","0.0164","0.1473"
"","0.5200","0.0171","0.1482"
"","0.5400","0.0178","0.1490"
"","0.5600","0.0186","0.1502"
"","0.5800","0.0194","0.1512"
"","0.6000","0.0204","0.1528"
"","0.6200","0.0214","0.1541"
"","0.6400","0.0224","0.1555"
"","0.6600","0.0233","0.1567"
"","0.6800","0.0241","0.1579"
"","0.7000","0.0249","0.1589"
"","0.7200","0.0257","0.1599"
"","0.7400","0.0264","0.1612"
"","0.7600","0.0272","0.1621"
"","0.7800","0.0281","0.1632"
"","0.8000","0.0290","0.1644"
"","0.8200","0.0299","0.1660"
"","0.8400","0.0308","0.1670"
"","0.8600","0.0316","0.1682"
"","0.8800","0.0325","0.1692"
"","0.9000","0.0332","0.1705"
"","0.9200","0.0340","0.1717"
"","0.9400","0.0349","0.1730"
"","0.9600","0.0357","0.1738"
"","0.9800","0.0366","0.1749"
"","1.0000","0.0374","0.1759"
"","1.0200","0.0383","0.1773"
"","1.0400","0.0391","0.1783"
"","1.0600","0.0399","0.1794"
"","1.0800","0.0407","0.1804"
"","1.1000","0.0414","0.1815"
"","1.1200","0.0422","0.1825"
"","1.1400","0.0431","0.1836"
"","1.1600","0.0440","0.1849"
"","1.1800","0.0450","0.1861"
"","1.2000","0.0459","0.1876"
"","1.2200","0.0468","0.1889"
"","1.2400","0.0477","0.1900"
"","1.2600","0.0485","0.1909"
"","1.2800","0.0492","0.1920"
"","1.3000","0.0500","0.1928"
"","1.3200","0.0508","0.1939"
"","1.3400","0.0516","0.1948"
"","1.3600","0.0525","0.1962"
"","1.3800","0.0534","0.1974"
"","1.4000","0.0543","0.1987"
"","1.4200","0.0552","0.1996"
"","1.4400","0.0560","0.2008"
"","1.4600","0.0568","0.2016"
"","1.4800","0.0575","0.2026"
"","1.5000","0.0583","0.2035"
"","1.5200","0.0592","0.2049"
"","1.5400","0.0602","0.2062"
"","1.5600","0.0612","0.2077"
"","1.5800","0.0622","0.2089"
"","1.6000","0.0631","0.2101"
"","1.6200","0.0639","0.2112"
"","1.6400","0.0646","0.2121"
"","1.6600","0.0653","0.2129"
"","1.6800","0.0661","0.2140"
"","1.7000","0.0669","0.2152"
"","1.7200","0.0678","0.2163"
"","1.7400","0.0689","0.2175"
"","1.7600","0.0699","0.2190"
"","1.7800","0.0709","0.2203"
